"R0000100","R0070400","R0070500","R0071000","R0357900","R0358100","R0358300","R0358500","R0358900","R0359100","R0536300","R0536401","R0536402","R1204700","R1205300","R1235800","R1302400","R1302500","R1302600","R1302700","R1482600","R9792900","R9793400","R9793500","R9793600","R9793700","R9793800","R9793900"
7581,1,1,1,0,-4,0,-4,0,-4,1,10,1983,130750,1,0,4,6,4,6,2,-4,-4,-4,-4,-4,-4,-4
7582,3,2,1,0,-4,0,-4,-1,-4,2,3,1980,64750,4,0,-3,8,-4,8,2,4,-4,-4,-4,-4,440,380
7583,3,1,2,0,-4,0,-4,0,-4,1,11,1984,86650,2,0,-4,10,12,10,2,2,-4,-4,-4,-4,-4,-4
7584,1,2,2,1,2,1,0,0,-4,2,11,1983,-2130,1,0,15,12,15,12,2,-4,-4,-4,-4,-4,-4,-4
7585,3,2,4,1,0,1,5,1,1,1,12,1980,101000,4,0,-3,6,-4,6,2,1,-4,-4,-4,-4,-4,-4
7586,1,1,2,1,0,1,0,1,0,2,12,1982,101000,4,0,-3,6,-4,6,2,-4,-4,-4,-4,-4,-4,-4
7587,1,1,2,0,-4,0,-4,0,-4,2,7,1983,70400,1,0,-3,-3,-3,-3,2,4,-4,-4,-4,-4,-4,-4
7588,4,3,5,0,-4,0,-4,0,-4,2,8,1980,90950,1,0,-3,12,-3,12,2,3,-4,-4,-4,-4,470,480
7589,1,1,1,0,-4,1,0,0,-4,1,8,1984,90950,1,0,-3,12,-3,12,2,-4,-4,-4,-4,-4,-4,-4
7590,3,3,3,0,-4,0,-4,0,-4,2,3,1981,89000,1,0,9,13,9,13,2,4,-4,-4,-4,-4,630,610
7591,2,2,4,1,0,1,0,1,0,2,12,1982,-4,1,0,9,13,9,13,2,3,-4,-4,-4,-4,630,510
7592,2,2,3,0,-4,0,-4,0,-4,2,10,1984,-4,1,0,9,13,9,13,2,3,-4,-4,-4,-4,-4,-4
7593,3,2,2,0,-4,0,-4,0,-4,2,8,1983,74000,2,0,-3,13,-3,13,2,-4,-4,-4,-4,-4,-4,-4
7594,2,3,2,0,-4,1,0,0,-4,1,7,1980,112435,1,0,-3,-3,-3,-3,2,-4,-4,-4,-4,-4,-4,-4
7595,2,2,2,0,-4,1,0,0,-4,1,2,1982,112435,1,0,-3,-3,-3,-3,2,-4,-4,-4,-4,-4,-4,-4
7596,3,4,4,1,15,1,10,1,28,1,4,1980,7932,1,0,12,13,12,13,2,1,-4,-4,-4,-4,-4,-4
7597,2,4,5,1,0,1,4,1,20,1,12,1981,7932,1,0,12,13,12,13,2,-4,-4,-4,-4,-4,-4,-4
7598,2,2,3,0,-4,0,-4,0,-4,2,2,1983,-140000,1,0,13,9,13,9,2,2,-4,-4,-4,-4,-4,-4
7599,1,1,1,0,-4,0,-4,0,-4,1,3,1984,-140000,1,0,13,9,13,9,2,-4,-4,-4,-4,-4,-4,-4
7600,3,1,2,1,0,0,-4,1,0,1,6,1984,3200,2,0,10,9,10,9,2,2,-4,-4,-4,-4,-4,-4
7601,2,1,1,1,0,1,0,1,0,2,8,1984,-4,8,0,-3,1,-4,-4,2,4,25,24,20,30,-4,-4
7602,3,2,2,0,-4,0,-4,1,0,1,1,1982,4000,9,0,8,-3,-4,-4,2,-4,-4,-4,-4,-4,-4,-4
7603,2,4,4,0,-4,1,0,0,-4,2,1,1980,280700,1,0,16,14,16,14,2,4,24,25,26,22,560,570
7604,3,3,-2,0,-4,1,0,1,0,1,3,1981,-4,1,0,-4,-3,-3,-3,2,-3,-4,-4,-4,-4,-4,-4
7605,4,4,4,0,-4,0,-4,0,-4,2,3,1982,-4,1,0,-4,-3,-3,-3,2,-4,-4,-4,-4,-4,-4,-4
7606,3,3,3,1,30,1,13,0,-4,2,10,1981,57500,4,0,11,7,-4,7,2,-4,-4,-4,-4,-4,-4,-4
7607,3,4,5,1,13,1,21,1,2,1,6,1982,185496,1,0,-3,-3,-3,-3,2,-4,-4,-4,-4,-4,-4,-4
7608,3,4,4,1,0,1,0,1,0,2,8,1981,-3,2,0,-3,10,7,10,2,3,-4,-4,-4,-4,-4,-4
7609,1,1,1,0,-4,0,-4,0,-4,2,10,1984,32000,1,0,12,12,12,12,2,-4,-4,-4,-4,-4,-4,-4
7610,3,2,3,1,0,1,0,1,0,2,8,1983,22500,4,0,12,14,-4,14,2,2,16,10,14,21,-4,-4
7611,1,1,1,0,-4,0,-4,0,-4,2,12,1980,1750,4,0,-4,11,-4,11,2,-4,-4,-4,-4,-4,-4,-4
7612,2,3,5,1,30,1,1,1,0,2,12,1981,-4,5,0,6,11,6,-4,2,-4,-4,-4,-4,-4,-4,-4
7613,4,3,3,1,0,0,-4,0,-4,2,1,1980,500,4,0,-3,-3,-4,-3,1,-4,-4,-4,-4,-4,-4,-4
7614,4,1,3,1,0,1,0,0,-4,2,5,1980,-3,4,0,-4,-3,-4,-3,1,9,-4,-4,-4,-4,-4,-4
7615,4,2,4,0,-4,1,0,0,-4,1,4,1982,16000,4,0,-3,12,-4,12,1,-3,-4,-4,-4,-4,510,350
7616,4,2,-2,1,0,1,0,0,-4,2,11,1980,-3,9,0,-4,-4,-4,-4,1,10,20,23,18,22,490,510
7617,5,3,4,1,30,1,1,1,5,2,5,1980,3300,10,0,12,3,-4,-4,2,-3,-4,-4,-4,-4,-4,-4
7618,-2,-2,-2,1,30,1,0,0,-4,2,2,1980,-3,4,0,-3,11,-4,11,1,-4,-4,-4,-4,-4,-4,-4
